Результаты соревнований

Группа M16
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Романеев Андрей;;I;00:42:12;;1;370,0;0;370
2;Макаров Тимофей;;I;00:42:34;+00:00:22;2;185,00;121,19;306
3;Репин Максим;;I;00:44:11;+00:01:59;3;123,33;111,74;235
4;Медков Даниил;;КМС;00:44:57;+00:02:45;4;92,50;107,26;200
5;Алипов Алексей;;I;00:46:40;+00:04:28;5;74,00;97,22;171
6;Шкилев Алексей;;I;00:48:35;+00:06:23;6;61,67;86,02;148
7;Еремин Сергей;;I;00:48:57;+00:06:45;7;52,86;83,88;137
8;Втюрин Кирилл;;I;00:50:19;+00:08:07;8;46,25;75,89;122
9;Зверев Демьян;;I;00:50:29;+00:08:17;9;41,11;74,92;116
10;Крупчатников Михаил;;I;00:52:02;+00:09:50;10;37,00;65,86;103
11;Николаев Илья;;I;00:53:22;+00:11:10;11;33,64;58,06;92
12;Петушков Алексей;;I;00:53:42;+00:11:30;12;30,83;56,11;87
13;Федоров Федор;;I;00:54:25;+00:12:13;13;28,46;51,92;80
14;Фоминых Алексей;;I;00:55:00;+00:12:48;14;26,43;48,52;75
15;Кураев Даниил;;I;00:55:47;+00:13:35;15;24,67;43,94;69
16;Сазонов Константин;;I;00:56:10;+00:13:58;16;23,12;41,70;65
17;Тахавиев Даниэль;;I;00:56:43;+00:14:31;17;21,76;38,48;60
18;Ауц Евгений;;I;00:58:07;+00:15:55;18;20,56;30,30;51
19;Землемеров Владимир;;I;00:58:33;+00:16:21;19;19,47;27,76;47
20;Кузин Денис;;I;00:58:57;+00:16:45;20;18,50;25,43;44
21;Захарычев Иван;;I;00:59:56;+00:17:44;21;17,62;19,68;37
22;Расторгуев Иван;;I;01:00:23;+00:18:11;22;16,82;17,05;34
23;Апостол Даниил;;II;01:00:26;+00:18:14;23;16,09;16,76;33
24;Мочилин Роман;;II;01:00:39;+00:18:27;24;15,42;15,49;31
25;Азизов Михаил;;II;01:01:17;+00:19:05;25;14,80;11,79;27
26;Шевчук Дмитрий;;КМС;01:01:21;+00:19:09;26;14,23;11,40;26
27;Aкулинин Дмитрий;;I;01:01:59;+00:19:47;27;13,70;7,70;21
28;Илларионов Егор;;I;01:03:33;+00:21:21;28;13,21;0;13
29;Исаков Егор;;I;01:04:19;+00:22:07;29;12,76;0;13
30;Казанцев Владимир;;I;01:05:26;+00:23:14;30;12,33;0;12
31;Минин Федор;;I;01:05:55;+00:23:43;31;11,94;0;12
32;Антонов Михаил;;II;01:06:23;+00:24:11;32;11,56;0;12
33;Мустафаев Даниил;;I;01:06:30;+00:24:18;33;11,21;0;11
34;Галеутдинов Виталий;;I;01:06:34;+00:24:22;34;10,88;0;11
35;Курюкин Егор;;I;01:07:11;+00:24:59;35;10,57;0;11
36;Ермаков Олег;;I;01:07:27;+00:25:15;36;10,28;0;10
37;Смирнов Александр;;I;01:09:41;+00:27:29;37;10,00;0;10
38;Макаров Артём;;I;01:12:20;+00:30:08;38;9,74;0;10
39;Шененков Даниил;;I;01:12:49;+00:30:37;39;9,49;0;9
40;Тиунов Дмитрий;;I;01:14:19;+00:32:07;40;9,25;0;9
41;Краснов Дмитрий;;I;01:15:00;+00:32:48;41;9,02;0;9
42;Сорокин Василий;;II;01:15:31;+00:33:19;42;8,81;0;9
43;Сугак Никита;;I;01:16:36;+00:34:24;43;8,60;0;9
44;Семенов Степан;;I;01:18:01;+00:35:49;44;8,41;0;8
45;Лебедев Владимир;;I;01:18:11;+00:35:59;45;8,22;0;8
46;Довгаль Федор;;I;01:18:28;+00:36:16;46;8,04;0;8
47;Богданов Кирилл;;II;01:18:40;+00:36:28;47;7,87;0;8
48;Калинкин Глеб;;II;01:19:38;+00:37:26;48;7,71;0;8
49;Сазонов Василий;;I;01:23:00;+00:40:48;49;7,55;0;8
50;Горячев Максим;;II;01:25:25;+00:43:13;50;7,40;0;7
51;Солдатов Павел;;I;01:29:56;+00:47:44;51;7,25;0;7
52;Тузов Артем;;Iю;01:52:10;+01:09:58;52;7,12;0;7
53;Серов Матвей;;Iю;01:55:48;+01:13:36;53;6,98;0;7
54;Каленик Тимофей;;II;00:00:00;;;0;0;0
55;Еськов Сергей;;II;00:00:00;;;0;0;0
56;Мироненко Никита;;II;00:00:00;;;0;0;0
57;Патраков Юрий;;I;00:00:00;;;0;0;0
58;Кожевников Фёдор;;I;00:00:00;;;0;0;0
59;Захаров Михаил;;III;00:00:00;;;0;0;0


Группа M
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Козырев Андрей;;МС;01:13:48;;1;358;0;358
2;Зарипов Александр;;МС;01:24:17;+00:10:29;2;179,0;85,43;264
3;Головин Дмитрий;;КМС;01:25:12;+00:11:24;3;119,33;82,47;202
4;Гиматов Ильдар;;КМС;01:28:40;+00:14:52;4;89,50;71,26;161
5;Тахавиев Тимур;;КМС;01:29:05;+00:15:17;5;71,6;69,91;142
6;Мизонов Сергей;;МС;01:31:53;+00:18:05;6;59,67;60,85;121
7;Джурабаев Эдуард;;КМС;01:37:39;+00:23:51;7;51,14;42,20;93
8;Шабалов Даниил;;КМС;01:41:20;+00:27:32;8;44,75;30,29;75
9;Гетманский Сергей;;КМС;01:42:03;+00:28:15;9;39,78;27,97;68
10;Улеев Даниил;;КМС;01:43:03;+00:29:15;10;35,8;24,74;61
11;Курносов Никита;;МС;01:43:40;+00:29:52;11;32,55;22,75;55
12;Милованов Виктор;;I;01:46:07;+00:32:19;12;29,83;14,82;45
13;Козин Дмитрий;;I;01:49:17;+00:35:29;13;27,54;4,58;32
14;Елисеев Антон;;КМС;01:52:34;+00:38:46;14;25,57;0;26
15;Литвинов Павел;;II;01:57:43;+00:43:55;15;23,87;0;24
16;Кошкин Владислав;;КМС;02:02:08;+00:48:20;16;22,38;0;22
17;Соловьев Сергей;;I;02:07:45;+00:53:57;17;21,06;0;21
18;Строкин Павел;;МС;02:11:39;+00:57:51;18;19,89;0;20
19;Терехин Виталий;;I;02:19:44;+01:05:56;19;18,84;0;19
20;Шмойлов Андрей;;I;02:42:22;+01:28:34;20;17,90;0;18
21;Петров Дмитрий;;I;02:48:22;+01:34:34;21;17,05;0;17
22;Златоверов Евгений;;I;00:00:00;;;0;0;0
23;Резюков Александр;;I;00:00:00;;;0;0;0
24;Козлов Даниил;;КМС;00:00:00;;;0;0;0
25;Махиянов Наиль;;I;00:00:00;;;0;0;0
26;Сенькин Александр;;КМС;00:00:00;;;0;0;0
27;Зарипов Эдуард;;МС;00:00:00;;;0;0;0
28;Николаев Алексей;;КМС;00:00:00;;;0;0;0


Группа M14
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Курнов Данил;;I;00:30:58;;1;286,0;0;286
2;Райков Кирилл;;I;00:32:08;+00:01:10;2;143,00;88,15;231
3;Трубников Михаил;;I;00:33:59;+00:03:01;3;95,33;76,76;172
4;Шабалов Леонид;;II;00:34:01;+00:03:03;4;71,50;76,55;148
5;Сидоров Прохор;;I;00:35:16;+00:04:18;5;57,20;68,86;126
6;Минулин Булат;;I;00:35:57;+00:04:59;6;47,67;64,65;112
