Результаты соревнований

Группа A
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Курнов Данил;;I;00:41:37;;1;133,15;0;133
2;Сазонов Павел;;I;00:42:43;+00:01:06;2;66,58;42,04;109
3;Еремин Сергей;;;00:54:13;+00:12:36;3;44,38;17,51;62
4;Еремина Анастасия;;;00:55:06;+00:13:29;4;33,29;15,62;49
5;Хохлова Екатерина;;;00:55:23;+00:13:46;5;26,63;15,02;42
6;Колохина Алина;;I;00:55:23;+00:13:46;6;22,19;15,02;37
7;Полунина Ирина;;I;01:05:00;+00:23:23;7;19,02;0;19
8;Гусев Иван;;I;01:37:28;+00:55:51;8;16,64;0;17
9;Ершов Кирилл;;II;02:02:48;+01:21:11;9;14,79;0;15
10;Курюкин Егор;;I;00:00:00;;;0;0;0


Группа B
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Елисеев Сергей;;I;00:55:36;;1;132;0;132
2;Шушарина Александра;;МС;01:08:28;+00:12:52;2;66,0;23,64;90
3;Баринов Арсений;;II;01:11:16;+00:15:40;3;44,00;19,20;63
4;Полуштайцева Вероника;;III;01:11:32;+00:15:56;4;33,00;18,78;52
5;Боровкова Анна;;II;01:32:00;+00:36:24;5;26,4;0;26
6;Павлов Егор;;I;00:00:00;;;0;0;0


Группа C
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Тюменков Даниил;;II;00:39:41;;1;107,35;0;107
2;Перепелкин Алексей;;IIIю;00:53:07;+00:13:26;2;53,68;11,56;65
3;Бухлаков Артем;;Iю;00:58:41;+00:19:00;3;35,78;1,52;37
4;Белявина Анастасия;;III;00:58:48;+00:19:07;4;26,84;1,31;28
5;Елисеева Алена;;III;01:06:24;+00:26:43;5;21,47;0;21
6;Курнов Глеб;;;01:10:47;+00:31:06;6;17,89;0;18
7;Лабутина Людмила;;III;01:18:53;+00:39:12;7;15,34;0;15
8;Зингер Полина;;IIIю;01:35:04;+00:55:23;8;13,42;0;13
9;Носова Мария;;IIIю;01:35:06;+00:55:25;9;11,93;0;12
10;Рыжова Мария;;Iю;00:00:00;;;0;0;0


Группа D
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Змеева Виктория;;;01:03:05;;1;100,45;0;100
2;Жиров Александр;;;01:05:01;+00:01:56;2;50,22;31,43;82
3;Малыгин Иван;;;01:05:17;+00:02:12;3;33,48;31,15;65
4;Тычинина Ксения;;;01:06:29;+00:03:24;4;25,11;29,87;55
5;Вилков Иван;;;01:06:33;+00:03:28;5;20,09;29,80;50
6;Ковыляева Злата;;;01:07:48;+00:04:43;6;16,74;28,48;45
7;Горобец Дмитрий;;;01:18:12;+00:15:07;7;14,35;17,44;32
8;Филатов Виктор;;;01:21:13;+00:18:08;8;12,56;14,23;27
9;Елисеева Галина;;;00:00:00;;;0;0;0


